beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,B3,no,59,,
1.0,1.0,A3,no,57,,
2.0,1.0,G3,no,55,,
3.0,1.0,F#3,no,54,,
4.0,0.5,E3,no,52,,
4.5,0.5,G3,no,55,,
5.0,0.5,F#3,no,54,,
5.5,0.5,A3,no,57,,
6.0,1.0,G3,no,55,,
7.0,1.0,D3,no,50,,
8.0,1.0,D4,no,62,,
9.0,1.0,C4,no,60,,
10.0,1.0,B3,no,59,,
11.0,1.0,G3,no,55,,
12.0,1.0,F#3,no,54,,
13.0,1.0,E3,no,52,,
14.0,1.0,D3,no,50,,
16.0,1.0,B3,no,59,,
17.0,1.0,A3,no,57,,
18.0,1.0,G3,no,55,,
19.0,1.0,F#3,no,54,,
20.0,0.5,E3,no,52,,
20.5,0.5,G3,no,55,,
21.0,0.5,F#3,no,54,,
21.5,0.5,A3,no,57,,
22.0,1.0,G3,no,55,,
23.0,1.0,D3,no,50,,
24.0,1.0,D4,no,62,,
25.0,1.0,C4,no,60,,
26.0,1.0,B3,no,59,,
27.0,1.0,G3,no,55,,
28.0,1.0,F#3,no,54,,
29.0,1.0,E3,no,52,,
30.0,1.0,D3,no,50,,
32.0,1.0,A3,no,57,,
33.0,1.0,G3,no,55,,
34.0,1.0,F#3,no,54,,
36.0,1.0,C4,no,60,,
37.0,1.0,B3,no,59,,
38.0,1.0,A3,no,57,,
40.0,1.0,E4,no,64,,
41.0,1.0,D4,no,62,,
42.0,1.0,C4,no,60,,
43.0,1.0,B3,no,59,,
44.0,0.5,A3,no,57,,
44.5,0.5,C4,no,60,,
45.0,0.5,B3,no,59,,
45.5,0.5,D4,no,62,,
46.0,1.5,C4,no,60,,
47.5,0.5,A3,no,57,,
48.0,1.0,B3,no,59,,
49.0,1.0,A3,no,57,,
50.0,1.0,G3,no,55,,
51.0,1.0,F#3,no,54,,
52.0,0.5,E3,no,52,,
52.5,0.5,G3,no,55,,
53.0,0.5,F#3,no,54,,
53.5,0.5,A3,no,57,,
54.0,1.0,G3,no,55,,
55.0,1.0,D3,no,50,,
56.0,1.0,E4,no,64,,
57.0,1.0,D4,no,62,,
58.0,1.0,C4,no,60,,
59.0,1.0,B3,no,59,,
60.0,0.5,F#3,no,54,,
60.5,0.5,C4,no,60,,
61.0,0.5,F#3,no,54,,
61.5,0.5,A3,no,57,,
62.0,1.0,G3,no,55,,
64.0,1.0,A3,no,57,,
65.0,1.0,G3,no,55,,
66.0,1.0,F#3,no,54,,
68.0,1.0,C4,no,60,,
69.0,1.0,B3,no,59,,
70.0,1.0,A3,no,57,,
72.0,1.0,E4,no,64,,
73.0,1.0,D4,no,62,,
74.0,1.0,C4,no,60,,
75.0,1.0,B3,no,59,,
76.0,0.5,A3,no,57,,
76.5,0.5,C4,no,60,,
77.0,0.5,B3,no,59,,
77.5,0.5,D4,no,62,,
78.0,1.5,C4,no,60,,
79.5,0.5,A3,no,57,,
80.0,1.0,B3,no,59,,
81.0,1.0,A3,no,57,,
82.0,1.0,G3,no,55,,
83.0,1.0,F#3,no,54,,
84.0,0.5,E3,no,52,,
84.5,0.5,G3,no,55,,
85.0,0.5,F#3,no,54,,
85.5,0.5,A3,no,57,,
86.0,1.0,G3,no,55,,
87.0,1.0,D3,no,50,,
88.0,1.0,E4,no,64,,
89.0,1.0,D4,no,62,,
90.0,1.0,C4,no,60,,
91.0,1.0,B3,no,59,,
92.0,0.5,F#3,no,54,,
92.5,0.5,C4,no,60,,
93.0,0.5,F#3,no,54,,
93.5,0.5,A3,no,57,,
94.0,1.0,G3,no,55,,
